canonical_source,canonical_target,weight
Jon Snow,Tyrion Lannister,5244
Daenerys Targaryen,Tyrion Lannister,4912
Catelyn Stark,Tyrion Lannister,3685
Arya Stark,Tyrion Lannister,3159
Sansa Stark,Tyrion Lannister,2384
Bran Stark,Tyrion Lannister,2196
Davos Seaworth,Tyrion Lannister,1923
Theon Greyjoy,Tyrion Lannister,1592
Cersei Lannister,Jaime Lannister,1494
Brienne Tarth,Jaime Lannister,1319
Eddard Stark,Tyrion Lannister,1255
Jaime Lannister,Tyrion Lannister,1215
Sansa Stark,Jaime Lannister,759
Samwell Tarly,Tyrion Lannister,682
Cersei Lannister,Tyrion Lannister,679
Arya Stark,Jaime Lannister,566
Jaime Lannister,Cersei Lannister,537
Samwell Tarly,Jaime Lannister,532
Tyrion Lannister,Jaime Lannister,305
Catelyn Stark,Eddard Stark,298
POV: The Watcher,Tyrion Lannister,274
Daenerys Targaryen,Barristan Selmy,262
Jon Snow,Davos Seaworth,223
Daenerys Targaryen,Jaime Lannister,219
Cersei Lannister,Arianne Martell,219
Catelyn Stark,Jaime Lannister,214
Tyrion Lannister,Sansa Stark,214
Sansa Stark,Cersei Lannister,213
Aeron Greyjoy,Jaime Lannister,208
Tyrion Lannister,Daenerys Targaryen,208
Asha Greyjoy,Jaime Lannister,177
Catelyn Stark,Bran Stark,175
Arya Stark,Sansa Stark,171
Bran Stark,Eddard Stark,170
Tyrion Lannister,Davos Seaworth,170
POV: The Kingbreaker,Tyrion Lannister,169
Tyrion Lannister,Jon Snow,164
Bran Stark,Theon Greyjoy,160
Jon Connington,Tyrion Lannister,160
Catelyn Stark,Jon Snow,160
Brienne Tarth,Cersei Lannister,157
Bran Stark,Jon Snow,156
Erik Ironmaker,Jaime Lannister,150
Jon Snow,Jaime Lannister,144
Bran Stark,Catelyn Stark,143
Sansa Stark,Arya Stark,138
Brienne Tarth,Sansa Stark,136
Tyrion Lannister,Catelyn Stark,131
Erik Ironmaker,Victarion Greyjoy,130
Sansa Stark,Catelyn Stark,124
Samwell Tarly,Jon Snow,123
Arya Stark,Jon Snow,120
Victarion Greyjoy,Jaime Lannister,119
Cersei Lannister,Asha Greyjoy,116
Tyrion Lannister,Quentyn Martell,114
Jon Snow,Melisandre,111
POV: The Queenmaker,Jaime Lannister,111
POV: The Kingbreaker,Barristan Selmy,103
Tyrion Lannister,Victarion Greyjoy,102
Davos Seaworth,Jaime Lannister,101
Tyrion Lannister,Jon Connington,100
Jon Snow,Bran Stark,100
Catelyn Stark,Davos Seaworth,100
Melisandre,Tyrion Lannister,98
POV: The Queenmaker,Arianne Martell,96
Eddard Stark,Sansa Stark,93
Aeron Greyjoy,Victarion Greyjoy,90
Eddard Stark,Jon Snow,90
Jon Snow,Theon Greyjoy,86
Samwell Tarly,Cersei Lannister,84
POV: The Dragontamer,Tyrion Lannister,83
Tywin Lannister,Tyrion Lannister,83
Cersei Lannister,Barristan Selmy,80
Arya Stark,Catelyn Stark,79
Eddard Stark,Catelyn Stark,77
Tyrion Lannister,Asha Greyjoy,77
Daenerys Targaryen,Quentyn Martell,77
Sansa Stark,Eddard Stark,76
Catelyn Stark,Sansa Stark,76
Tyrion Lannister,Barristan Selmy,75
Jon Snow,Eddard Stark,73
Eddard Stark,Arya Stark,70
Tyrion Lannister,Eddard Stark,70
Arya Stark,Eddard Stark,69
Davos Seaworth,Asha Greyjoy,68
Jon Snow,Arya Stark,67
Jaime Lannister,Catelyn Stark,65
Tyrion Lannister,Cersei Lannister,64
Jon Snow,Daenerys Targaryen,60
Cersei Lannister,Sansa Stark,58
Arya Stark,Cersei Lannister,58
POV: The Dragontamer,Quentyn Martell,57
Victarion Greyjoy,Tyrion Lannister,57
Erik Ironmaker,Aeron Greyjoy,56
Jaime Lannister,Sansa Stark,56
Jon Snow,Catelyn Stark,56
Theon Greyjoy,Bran Stark,54
Arya Stark,Daenerys Targaryen,54
Bran Stark,Arya Stark,52
Daenerys Targaryen,Cersei Lannister,52
Arya Stark,Bran Stark,52
POV: The Kingbreaker,Daenerys Targaryen,51
Aeron Greyjoy,Asha Greyjoy,50
Jaime Lannister,Arys Oakheart,49
Tywin Lannister,Quentyn Martell,49
Bran Stark,Jaime Lannister,47
Victarion Greyjoy,Aeron Greyjoy,45
Jon Snow,Samwell Tarly,45
Melisandre,Jon Snow,44
Theon Greyjoy,Davos Seaworth,44
Theon Greyjoy,Jaime Lannister,43
POV: The Queenmaker,Cersei Lannister,42
Samwell Tarly,Davos Seaworth,41
POV: The Watcher,Areo Hotah,41
Theon Greyjoy,Arya Stark,41
Sansa Stark,Jon Snow,40
Brienne Tarth,Arya Stark,39
Catelyn Stark,Arya Stark,39
Jaime Lannister,Arya Stark,37
Sansa Stark,Davos Seaworth,37
Eddard Stark,Bran Stark,36
Jaime Lannister,Arianne Martell,36
Bran Stark,Samwell Tarly,35
Jon Snow,Cersei Lannister,35
