Source,Target,weight
Daenerys Targaryen,Tyrion Lannister,52
Cersei Lannister,Jaime Lannister,48
Jon Snow,Tyrion Lannister,44
Jaime Lannister,Tyrion Lannister,41
Daenerys Targaryen,Jon Snow,38
Arya Stark,Tyrion Lannister,38
Arya Stark,Jon Snow,36
Davos Seaworth,Tyrion Lannister,36
Daenerys Targaryen,Jaime Lannister,35
Bran Stark,Tyrion Lannister,33
Arya Stark,Jaime Lannister,33
Arya Stark,Daenerys Targaryen,32
Cersei Lannister,Tyrion Lannister,32
Jaime Lannister,Jon Snow,31
Daenerys Targaryen,Davos Seaworth,31
Davos Seaworth,Jon Snow,31
Bran Stark,Jon Snow,31
Arya Stark,Bran Stark,29
Arya Stark,Cersei Lannister,29
Bran Stark,Daenerys Targaryen,29
Arya Stark,Sansa Stark,27
Davos Seaworth,Jaime Lannister,27
Jon Snow,Sansa Stark,26
Cersei Lannister,Daenerys Targaryen,26
Sansa Stark,Tyrion Lannister,25
Catelyn Stark,Sansa Stark,25
Catelyn Stark,Tyrion Lannister,25
Catelyn Stark,Jon Snow,25
Arya Stark,Davos Seaworth,25
Catelyn Stark,Daenerys Targaryen,24
Daenerys Targaryen,Sansa Stark,24
Cersei Lannister,Jon Snow,24
Bran Stark,Davos Seaworth,23
Jaime Lannister,Sansa Stark,23
Cersei Lannister,Davos Seaworth,21
Arya Stark,Catelyn Stark,21
Bran Stark,Jaime Lannister,20
Bran Stark,Catelyn Stark,20
Bran Stark,Sansa Stark,19
Theon Greyjoy,Tyrion Lannister,19
Davos Seaworth,Theon Greyjoy,18
Jon Snow,Theon Greyjoy,18
Cersei Lannister,Sansa Stark,18
Catelyn Stark,Davos Seaworth,17
Davos Seaworth,Sansa Stark,17
Barristan Selmy,Tyrion Lannister,17
Barristan Selmy,Daenerys Targaryen,16
Arya Stark,Theon Greyjoy,15
Barristan Selmy,Jaime Lannister,15
Bran Stark,Cersei Lannister,15
Jaime Lannister,Samwell Tarly,14
Barristan Selmy,Cersei Lannister,14
Daenerys Targaryen,Theon Greyjoy,14
Samwell Tarly,Sansa Stark,14
Areo Hotah,Jaime Lannister,14
Jaime Lannister,Victarion Greyjoy,13
Cersei Lannister,Theon Greyjoy,13
Bran Stark,Theon Greyjoy,13
Cersei Lannister,Victarion Greyjoy,13
Areo Hotah,Cersei Lannister,13
Arya Stark,Samwell Tarly,12
Jaime Lannister,Theon Greyjoy,12
Asha Greyjoy,Cersei Lannister,11
Asha Greyjoy,Jaime Lannister,11
Jon Snow,Samwell Tarly,10
Cersei Lannister,Samwell Tarly,10
Catelyn Stark,Jaime Lannister,10
Daenerys Targaryen,Quentyn Martell,10
Arianne Martell,Jaime Lannister,10
Quentyn Martell,Tyrion Lannister,10
Jaime Lannister,Quentyn Martell,10
Arianne Martell,Cersei Lannister,10
Areo Hotah,Tyrion Lannister,10
Barristan Selmy,Davos Seaworth,9
Jaime Lannister,Melisandre,8
Arys Oakheart,Jaime Lannister,8
Samwell Tarly,Tyrion Lannister,8
Jon Connington,Tyrion Lannister,8
Melisandre,Tyrion Lannister,8
Areo Hotah,Daenerys Targaryen,8
Eddard Stark,Jon Snow,8
Eddard Stark,Tyrion Lannister,8
Cersei Lannister,Quentyn Martell,8
Aeron Greyjoy,Cersei Lannister,8
Arys Oakheart,Cersei Lannister,8
Asha Greyjoy,Victarion Greyjoy,8
Cersei Lannister,Jon Connington,8
Aeron Greyjoy,Jaime Lannister,8
Barristan Selmy,Quentyn Martell,8
Catelyn Stark,Samwell Tarly,8
Arianne Martell,Sansa Stark,8
Jaime Lannister,Jon Connington,8
Eddard Stark,Sansa Stark,7
Bran Stark,Eddard Stark,7
Catelyn Stark,Theon Greyjoy,7
Arya Stark,Eddard Stark,7
Daenerys Targaryen,Jon Connington,7
Davos Seaworth,Melisandre,7
Aeron Greyjoy,Sansa Stark,7
Arya Stark,Melisandre,7
Bran Stark,Samwell Tarly,7
Daenerys Targaryen,Melisandre,7
Sansa Stark,Theon Greyjoy,7
Arys Oakheart,Sansa Stark,7
Cersei Lannister,Melisandre,7
Daenerys Targaryen,Eddard Stark,7
Catelyn Stark,Eddard Stark,7
Daenerys Targaryen,Samwell Tarly,7
Arianne Martell,Arys Oakheart,7
Areo Hotah,Jon Snow,6
Aeron Greyjoy,Asha Greyjoy,6
Aeron Greyjoy,Arya Stark,6
Merrett Frey,Sansa Stark,6
Merrett Frey,Tyrion Lannister,6
Tyrion Lannister,Victarion Greyjoy,6
Barristan Selmy,Jon Snow,6
Aeron Greyjoy,Victarion Greyjoy,6
Jon Snow,Melisandre,6
Arya Stark,Asha Greyjoy,6
Davos Seaworth,Samwell Tarly,6
Asha Greyjoy,Jon Snow,6
Daenerys Targaryen,Merrett Frey,6
Areo Hotah,Davos Seaworth,6
Arya Stark,Victarion Greyjoy,6
Sansa Stark,Victarion Greyjoy,6
Joffrey Baratheon,Jon Snow,5
Jon Snow,Merrett Frey,5
Areo Hotah,Arya Stark,5
Daenerys Targaryen,Joffrey Baratheon,5
Jaime Lannister,Kevan Lannister,5
Davos Seaworth,Jon Connington,5
Areo Hotah,Barristan Selmy,5
Bran Stark,Merrett Frey,5
Areo Hotah,Quentyn Martell,5
Arianne Martell,Arya Stark,5
Jon Snow,Victarion Greyjoy,5
Catelyn Stark,Merrett Frey,5
Joffrey Baratheon,Tyrion Lannister,5
Barristan Selmy,Jon Connington,5
Arya Stark,Barristan Selmy,5
Asha Greyjoy,Sansa Stark,5
Bran Stark,Kevan Lannister,5
Jaime Lannister,Merrett Frey,5
Melisandre,Theon Greyjoy,5
Kevan Lannister,Tyrion Lannister,5
Davos Seaworth,Kevan Lannister,5
Cressen,Jon Snow,4
Cressen,Daenerys Targaryen,4
Merrett Frey,Samwell Tarly,4
Areo Hotah,Arianne Martell,4
Arya Stark,Merrett Frey,4
Cressen,Theon Greyjoy,4
Bran Stark,Jon Connington,4
Areo Hotah,Jon Connington,4
Areo Hotah,Arys Oakheart,4
Arya Stark,Roose Bolton,4
Cressen,Tyrion Lannister,4
Arianne Martell,Victarion Greyjoy,4
Bran Stark,Roose Bolton,4
Areo Hotah,Bran Stark,4
